codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex
1117,1001,Santiago de Surco,San Isidro,Desconocido,,Desconocido,#FFFFFF
1118,1002,La Punta,La Victoria,Desconocido,,Desconocido,#004F08
IO33B,1003,Puente Piedra,Rímac,Rosa de las Américas,ETROASAC,La 9,#FFFFFF
1212,1004,Comas,San Martín de Porres,Doce de Junio,ETDOJUSA,Ninguno,#FF6417
1217,1005,Carabayllo,La Victoria,Santa Cruz,,La 13,#FF0000
1403,1006,Carabayllo,Ate,Impulsa Progreso,,La C,#0CB7F2
1502,1007,Puente Piedra,Lima,Amancaes,ETAMSA,La 87B,#FFCD82
1503,1008,Carabayllo,Magdalena del Mar,Express del Perú,GEP,La 03,#210BA3
1504,1009,Carabayllo,San Miguel,Comercializadora e Importadora Unidos Punchauca,ETCIPSA,La 06,#762CB9
1505,1010,Puente Piedra,Magdalena del Mar,Mariscal Ramón Castilla,ETMRCSA,La 46B,#143AB8
1506,1011,Carabayllo,Pueblo Libre,Translima,,La 47,#007DC4
1508,1012,Carabayllo,San Miguel,Unión Nacional,ESTUNSAC,La B,#FF0F0F
1518,1013,Carabayllo,Jesús María,Translima,,La 18,#017BA1
1602,1014,Comas,San Luis,Catorce de Diciembre,,Ninguno,#26913B
1604,1015,Carabayllo,Lince,Miguel Grau,ETMIGRASA,La MG,#121213
1607,1016,Ancón,La Victoria,La Buena Estrella,,Ninguno,#0000B3
1608,1017,Ancón,La Victoria,Novobus,,Ninguno,#0000BF
1610,1018,Carabayllo,La Victoria,Once de Noviembre,EMPTONSA,Ninguno,#56CCA1
1611,1019,Puente Piedra,Magdalena del Mar,Palmari,,La P,#D10F0F
1612,1020,Puente Piedra,Miraflores,Santa Luzmila,ETSLUSA,La C,#264720
1615,1021,Carabayllo,Lince,CKF,,La F,#D10F0F
1617,1022,Carabayllo,Miraflores,Norcom Corporation,,Ninguno,#D10F0F
1618,1023,Carabayllo,Lince,Nueva América,TRANSNASA,La B,#FA8E00
2204,1024,San Martín de Porres,San Martín de Porres,Nor Lima,ETNOLSA,La U - La A - La B - La C,#00BBFF
2209,1025,San Martín de Porres,Rímac,Unidos de Pasajeros,ETUPSA,La 73B,#006614
2212,1026,San Martín de Porres,Rímac,Especial Solidaridad,EMTESSA,La S2,#0F8A01
2412,1027,Rímac,Ate,Comité Cien,,La 60C,#0C0E52
2502,1028,San Martín de Porres,Lima,Pacific International,ETRASERPISA,La B,#FFAA00
2510,1029,Independencia,San Miguel,Alipio Ponce Vásquez,ETALPOVASA,Ninguno,#036900
2511,1030,San Martín de Porres,San Martín de Porres,Corazón de Jesús de San Diego,,Ninguno,#002BD9
2513,1031,San Martín de Porres,Jesús María,Translima,,La 29,#00FFEE
2603,1032,San Martín de Porres,La Victoria,San Juan de La Cruz,,La A,#F70707
2604,1033,San Martín de Porres,La Victoria,Luxe,,La C,#0B148F
2607,1034,Rímac,La Victoria,Independiente de Transportes,EITSA,La 36,#218F00
2608,1035,Rímac,La Victoria,Especiales La Bala,,Ninguno,#0B208C
2609,1036,Rímac,La Victoria,El Bajopontino,,Ninguno,#FFB34F
